Metric,Value
Accuracy,0.0263
Macro-F1,0.0038
Micro-F1,0.0263
Weighted-F1,0.0038
Dice,0.8253
IoU,0.7049

Class,Name,F1
0,Normal,0.0000
1,Center,0.0000
2,Donut,0.0000
3,EL,0.0000
4,ER,0.0000
5,LOC,0.0000
6,NF,0.1449
7,S,0.0000
8,Random,0.0000
9,C+EL,0.0000
10,C+ER,0.0000
11,C+L,0.0000
12,C+S,0.0000
13,D+EL,0.0000
14,D+ER,0.0000
15,D+L,0.0000
16,D+S,0.0000
17,EL+L,0.0000
18,EL+S,0.0000
19,ER+L,0.0000
20,ER+S,0.0000
21,L+S,0.0000
22,C+EL+L,0.0000
23,C+EL+S,0.0000
24,C+ER+L,0.0000
25,C+ER+S,0.0000
26,C+L+S,0.0000
27,D+EL+L,0.0000
28,D+EL+S,0.0000
29,D+ER+L,0.0000
30,D+ER+S,0.0000
31,D+L+S,0.0000
32,EL+L+S,0.0000
33,ER+L+S,0.0000
34,C+L+EL+S,0.0000
35,C+L+ER+S,0.0000
36,D+L+EL+S,0.0000
37,D+L+ER+S,0.0000
