class_id,class_name,sample_count,is_tail,f1,baseline_f1,delta,delta_pct
6,NF,15,Yes,0.9677,0.9375,+0.0302,+3.2%
8,Random,87,Yes,0.9942,0.9884,+0.0058,+0.6%
0,Normal,100,Yes,1.0000,1.0000,+0.0000,+0.0%
1,Center,100,Yes,0.9900,0.9950,-0.0050,-0.5%
2,Donut,100,Yes,0.9901,0.9950,-0.0049,-0.5%
3,EL,100,Yes,0.9899,0.9849,+0.0050,+0.5%
4,ER,100,Yes,0.9852,0.9756,+0.0096,+1.0%
5,LOC,100,Yes,0.9802,0.9802,-0.0000,-0.0%
7,S,100,Yes,1.0000,0.9901,+0.0099,+1.0%
9,C+EL,100,Yes,0.9901,0.9901,-0.0000,-0.0%
10,C+ER,100,Yes,0.9901,0.9950,-0.0049,-0.5%
11,C+L,100,Yes,0.9851,0.9851,-0.0000,-0.0%
12,C+S,100,Yes,0.9804,0.9756,+0.0048,+0.5%
13,D+EL,100,Yes,0.9900,0.9950,-0.0050,-0.5%
14,D+ER,100,Yes,0.9901,0.9950,-0.0049,-0.5%
15,D+L,100,Yes,0.9849,0.9798,+0.0051,+0.5%
16,D+S,100,Yes,0.9901,0.9950,-0.0049,-0.5%
17,EL+L,100,Yes,0.9804,0.9800,+0.0004,+0.0%
18,EL+S,100,Yes,0.9950,0.9900,+0.0050,+0.5%
19,ER+L,100,Yes,0.9749,0.9746,+0.0003,+0.0%
20,ER+S,100,Yes,0.9900,0.9851,+0.0049,+0.5%
21,L+S,100,Yes,0.9749,0.9700,+0.0049,+0.5%
22,C+EL+L,100,Yes,0.9600,0.9648,-0.0048,-0.5%
24,C+ER+L,100,Yes,0.9852,0.9950,-0.0098,-1.0%
25,C+ER+S,100,Yes,0.9899,0.9950,-0.0051,-0.5%
26,C+L+S,100,Yes,0.9645,0.9645,-0.0000,-0.0%
27,D+EL+L,100,Yes,0.9901,1.0000,-0.0099,-1.0%
28,D+EL+S,100,Yes,0.9495,0.9600,-0.0105,-1.1%
29,D+ER+L,100,Yes,0.9950,0.9950,-0.0000,-0.0%
30,D+ER+S,100,Yes,0.9608,0.9608,-0.0000,-0.0%
31,D+L+S,100,Yes,0.9700,0.9703,-0.0003,-0.0%
32,EL+L+S,100,Yes,0.9637,0.9637,+0.0000,+0.0%
33,ER+L+S,100,Yes,0.9652,0.9652,-0.0000,-0.0%
34,C+L+EL+S,100,Yes,0.9436,0.9490,-0.0054,-0.6%
35,C+L+ER+S,100,Yes,0.9746,0.9849,-0.0103,-1.0%
36,D+L+EL+S,100,Yes,0.9637,0.9694,-0.0057,-0.6%
37,D+L+ER+S,100,Yes,0.9950,0.9848,+0.0102,+1.0%
23,C+EL+S,200,Yes,0.9975,0.9975,+0.0000,+0.0%

Summary
Tail class count,38
Tail Macro-F1,0.9811
Baseline Tail Macro-F1,0.9810
Tail Delta,+0.0001
Tail Delta %,+0.0%
